Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Intrusion detection in industrial internet of things network using feature optimization and hybrid deep learning,Discover Internet of Things,,,,10.1007/s43926-026-00284-z,Salam FraihatQussai YaseenYousef SanjalaweAymen Abu-ErrubSharif Naser MakhadmehMohammed Azmi Al-Betar,2026,https://link.springer.com/article/10.1007/s43926-026-00284-z,Article
Deep learning-based ensemble stacking for enhanced intrusion detection in IoT-edge platforms,Discover Applied Sciences,,,,10.1007/s42452-025-06871-z,P. R. Chithra RaniK. Baalaji,2025,https://link.springer.com/article/10.1007/s42452-025-06871-z,Article
Identifying significant features in adversarial attack detection framework using federated learning empowered medical IoT network security,Scientific Reports,,,,10.1038/s41598-025-14913-0,Sanaa A. SharafSameer Nooh,2025,https://link.springer.com/article/10.1038/s41598-025-14913-0,Article
DQ-PAA: an efficient autonomous architecture based on dual cellular Q-LEARNING for intrusion detection in the healthcare system in the internet of things context,Cluster Computing,,,,10.1007/s10586-026-06211-9,Milad TajikHassan ShakeriAli Akbar NeghabiYasser Elmi SolaMohammad Hossein Moattar,2026,https://link.springer.com/article/10.1007/s10586-026-06211-9,Article
Hybrid feature selection for IoMT based intrusion detection system for integrating mutual information filtering with deep learning based accelerated metaheuristic optimization,Scientific Reports,,,,10.1038/s41598-026-47264-5,Saranya PalaniappanSudhakar Sengan,2026,https://link.springer.com/article/10.1038/s41598-026-47264-5,Article
Hybrid optimization-based quantum-driven multi-relational graph attention networks for enhanced cyber attack detection in medical IoT networks,Scientific Reports,,,,10.1038/s41598-026-50010-6,R. Krishna KumariC. R. KomalaE. Afreen BanuM. SivaramkrishnanM. Siva RamkumarK. SekarKhursheed MuzammilSaiful IslamAmanuel Zewdie,2026,https://link.springer.com/article/10.1038/s41598-026-50010-6,Article
Velocity Paused Particle Swarm Optimization-based Intelligent Long Short-Term Memory Framework for Intrusion Detection System in Internet of Medical Things,Arabian Journal for Science and Engineering,,,,10.1007/s13369-025-10091-3,Pandit Byomakesha DashH. S. BeheraManas Ranjan SenapatiJanmenjoy Nayak,2025,https://link.springer.com/article/10.1007/s13369-025-10091-3,Article
A novel Grey Wolf optimizer-based IDS framework in IoMT,Wireless Networks,,,,10.1007/s11276-026-04098-3,Yogendra KumarVijay Kumar,2026,https://link.springer.com/article/10.1007/s11276-026-04098-3,Article
Deep Learning Methods for Intrusion Detection Systems on the CSE-CIC-IDS2018 Dataset: A Review,Digital Forensics and Cyber Crime,,,,10.1007/978-3-031-89363-6_3,Yuksel CelikErdal BasaranSanjay Goel,2025,https://link.springer.com/chapter/10.1007/978-3-031-89363-6_3,Conference paper
Deep learning based anomaly detection for cyber physical systems across industrial and consumer IoT environments,Discover Internet of Things,,,,10.1007/s43926-026-00347-1,Bazezew BelewMehari Kiros,2026,https://link.springer.com/article/10.1007/s43926-026-00347-1,Article
Optimization of distributed network intrusion detection system based on internet of things and federated learning,Discover Internet of Things,,,,10.1007/s43926-025-00260-z,Yiqiong LiangMingwan Luo,2025,https://link.springer.com/article/10.1007/s43926-025-00260-z,Article
(IoT) Network intrusion detection system using optimization algorithms,Scientific Reports,,,,10.1038/s41598-025-04638-5,Luo Shan,2025,https://link.springer.com/article/10.1038/s41598-025-04638-5,Article
A hybrid denoising autoencoder and Query-Key attention-based framework for intrusion detection in software defined industrial networks,Cluster Computing,,,,10.1007/s10586-026-06065-1,Danish JaveedMuhammad AdilShifa ShoukatNaqqash Dilshad,2026,https://link.springer.com/article/10.1007/s10586-026-06065-1,Article
A Stability-Aware Adaptive Deep Learning Framework for Robust Intrusion Detection in Network Security,"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",,,,10.1007/s40998-026-01120-4,M. RekhaS. Senthilkumar,2026,https://link.springer.com/article/10.1007/s40998-026-01120-4,Article
Cybersecurity oriented malware classification using ParaECA-LSTMNet with a hybrid attention guided CNN-LSTM framework,Discover Analytics,,,,10.1007/s44257-025-00053-2,Roise UddinMohammad Mahmudur RahmanHossain AhmedAmir Hossain FahadAktarun NesaMazharul Islam ArmanChala Wata,2026,https://link.springer.com/article/10.1007/s44257-025-00053-2,Article
Advanced IoT intrusion detection using hybrid attention-based deep learning with DenseNet-ViT and AlexNet-BERT,Journal of Cloud Computing,,,,10.1186/s13677-025-00825-x,Sirajudeen Ameer JohnSenthilnathan PalaniappanGopichand GGanesan G,2026,https://link.springer.com/article/10.1186/s13677-025-00825-x,Article
Deep learning-empowered intrusion detection framework for the Internet of Medical Things environment,Knowledge and Information Systems,,,,10.1007/s10115-024-02149-9,Prashant Giridhar ShambharkarNikhil Sharma,2024,https://link.springer.com/article/10.1007/s10115-024-02149-9,Article
Neuro-symbolic machine learning for lightweight and interpretable IoT edge intrusion detection,Discover Sensors,,,,10.1007/s44397-026-00047-z,Pawan Kumar Badhan,2026,https://link.springer.com/article/10.1007/s44397-026-00047-z,Article
AQU-IMF-RFE: an extended feature selection method for intrusion detection in IoMT data using aquila optimization-based mutual information and recursive feature elimination,Discover Internet of Things,,,,10.1007/s43926-025-00211-8,Shaik Johny BashaD. VeeraiahSumalatha Lingamgunta,2025,https://link.springer.com/article/10.1007/s43926-025-00211-8,Article
DP-DL-ZT: a zero-trust-enhanced differential privacy framework with CNN-LSTM for cyber threat detection in IoT healthcare,Neural Computing and Applications,,,,10.1007/s00521-026-11890-x,Ibrahim M. HezamMahmoud M. IsmailAhmed M. AliKaram SallamMohamed Abdel-Basset,2026,https://link.springer.com/article/10.1007/s00521-026-11890-x,Article
Two-Tier heuristic search for ransomware-as-a-service based cyberattack défense analysis using explainable Bayesian deep learning model,Scientific Reports,,,,10.1038/s41598-025-96083-7,Ali Saeed Almuflih,2026,https://link.springer.com/article/10.1038/s41598-025-96083-7,Article
Enhancing IoMT Security: A Stacking Ensemble Model for Multi-Class Attack Classification,Intelligent Systems,,,,10.1007/978-3-032-05120-2_15,Shraddhanjali SahooSucheta PandaSasmita Acharya,2026,https://link.springer.com/chapter/10.1007/978-3-032-05120-2_15,Conference paper
"A comprehensive survey on techniques, challenges, evaluation metrics and applications of deep learning models for anomaly detection",Discover Applied Sciences,,,,10.1007/s42452-025-07312-7,Mudita KohliIndu Chhabra,2025,https://link.springer.com/article/10.1007/s42452-025-07312-7,Article
Ensemble based meta-heuristic optimized approach for network intrusion detection using LightGBM,Cluster Computing,,,,10.1007/s10586-025-05415-9,Sandeep MahatoSubrata Dutta,2025,https://link.springer.com/article/10.1007/s10586-025-05415-9,Article
Enhancing internet of things intrusion detection through high-performance boosting ensemble learning,Scientific Reports,,,,10.1038/s41598-026-50089-x,Vitaliy YakovynaAnton Fadieiev,2026,https://link.springer.com/article/10.1038/s41598-026-50089-x,Article
Few-shot android malware classification with quantum-enhanced prototypical learning and drift detection,Scientific Reports,,,,10.1038/s41598-026-45738-0,Mohammed TawfikHussam TaraziAhmad DalalahBajeszeyadaljunaeidiaWarda M. ShabanIslam S. Fathi,2026,https://link.springer.com/article/10.1038/s41598-026-45738-0,Article
Permission-level risk profiling and anomaly detection in IoT using machine learning,International Journal of Information Technology,,,,10.1007/s41870-025-02977-0,Pushpa Rajput Narayana SinghNeelambike Siddalingaiah,2025,https://link.springer.com/article/10.1007/s41870-025-02977-0,Article
Enhancing Network Resilience: A Hybrid Meta-Heuristic Intrusion Detection System Leveraging SSA-BOA-CNN,Journal of Network and Systems Management,,,,10.1007/s10922-025-09987-0,R. C. Jeyavim  SherinK. Parkavi,2025,https://link.springer.com/article/10.1007/s10922-025-09987-0,Article
Advanced intrusion detection in internet of things-driven health care with adaptive generative vision transformer network and generative vision transformers,Knowledge and Information Systems,,,,10.1007/s10115-025-02566-4,T. ThiyaguS. Krishnaveni,2025,https://link.springer.com/article/10.1007/s10115-025-02566-4,Article
Adaptive Anomaly Detection for IoT Networks: Improved Feature Engineering and Classification,Network and Parallel Computing,,,,10.1007/978-3-032-10459-5_30,Ayesha SabirSongjie WeiMuhammad Usman SabirAbida Naz,2026,https://link.springer.com/chapter/10.1007/978-3-032-10459-5_30,Conference paper
MQTTFlowLyzer: interpretable TabNet-based flow-level MQTT intrusion detection for IoT,The Journal of Supercomputing,,,,10.1007/s11227-026-08485-7,Arefeh KouhiRonaghiArash Habibi Lashkri,2026,https://link.springer.com/article/10.1007/s11227-026-08485-7,Article
Evaluating large transformer models for anomaly detection of resource-constrained IoT devices for intrusion detection system,Scientific Reports,,,,10.1038/s41598-025-21826-5,Ahmad AlmadhorShtwai AlsubaiNatalia KryvinskaAbdullah Al HejailiMohamed AyariBelgacem BouallegueSidra Abbas,2025,https://link.springer.com/article/10.1038/s41598-025-21826-5,Article
Fog-empowered anomaly detection in IoT networks using one-class asymmetric stacked autoencoder,Cluster Computing,,,,10.1007/s10586-025-05234-y,Aya G. AyadNehal A. SakrNoha A. Hikal,2025,https://link.springer.com/article/10.1007/s10586-025-05234-y,Article
Data fusion and network intrusion detection systems,Cluster Computing,,,,10.1007/s10586-024-04365-y,Rasheed AhmadIzzat Alsmadi,2024,https://link.springer.com/article/10.1007/s10586-024-04365-y,Article
A hybrid transformer-LSTM deep learning framework for secure intrusion detection in blockchain-enabled IoT networks,Telecommunication Systems,,,,10.1007/s11235-026-01440-0,Ahmad Sami Al-Shamayleh,2026,https://link.springer.com/article/10.1007/s11235-026-01440-0,Article
Residual temporal CNNs for emerging cyber threat detection in healthcare IoT,Discover Internet of Things,,,,10.1007/s43926-025-00271-w,Mirza AkhiCiarán EisingLubna Luxmi Dhirani,2026,https://link.springer.com/article/10.1007/s43926-025-00271-w,Article
DDoS attack detection and classification for the MQTT-IoT protocol using LSTM models,Discover Applied Sciences,,,,10.1007/s42452-026-08563-8,Deribew Beko NegesseKetema Adere GemedaGabriele Gianini,2026,https://link.springer.com/article/10.1007/s42452-026-08563-8,Article
Using Machine Learning for Protecting the Security and Privacy of Internet of Medical Things (IoMT) Systems,"Integrating Cloud, Fog, and Edge Computing in Healthcare: Federated Learning and Blockchain Approaches",,,,10.1007/978-3-031-96265-3_9,Himanshu SharmaPrabhat KumarGulshan ShrivastavaKavita SharmaAmit Bhola,2026,https://link.springer.com/chapter/10.1007/978-3-031-96265-3_9,Chapter
A Deep Hybrid LSTM-Attention Model for Context-Aware Anomaly Detection in IoT Traffic,Data Science and Applications,,,,10.1007/978-3-032-15407-1_20,Parvej KhanAnurag Singh,2026,https://link.springer.com/chapter/10.1007/978-3-032-15407-1_20,Conference paper
Network topology security analysis and attack detection based on graph neural networks,Discover Internet of Things,,,,10.1007/s43926-025-00277-4,Zhenhua YangMinghong YangQiwen Yang,2026,https://link.springer.com/article/10.1007/s43926-025-00277-4,Article
Explainable AI-driven intrusion detection for securing IoT-enabled autonomous transportation systems,Cluster Computing,,,,10.1007/s10586-025-05617-1,J. AkshyaM. SundarrajanR. VijayakumarRajesh Kumar DhanarajAnand Nayyar,2025,https://link.springer.com/article/10.1007/s10586-025-05617-1,Article
Adaptive anomaly detection for identifying attacks in cyber-physical systems: A systematic literature review,Artificial Intelligence Review,,,,10.1007/s10462-025-11292-w,Pablo MorianoSteven C. HespelerMingyan LiMaria Mahbub,2025,https://link.springer.com/article/10.1007/s10462-025-11292-w,Article
FATE-X: a federated transferable and explainable deep learning framework for APT detection in serverless edge environments,Computing,,,,10.1007/s00607-025-01590-0,Kusum YadavAbdullah J. Alzahrani,2025,https://link.springer.com/article/10.1007/s00607-025-01590-0,Article
A hybrid blockchain based deep learning model for multivector attack detection in internet of things enabled healthcare systems,Scientific Reports,,,,10.1038/s41598-026-40765-3,Sudhakar SenganChin-Shiuh ShiehMong-Fong Horng,2026,https://link.springer.com/article/10.1038/s41598-026-40765-3,Article
Optimizing cybercrime detection: A hybrid deep learning approach for enhanced intrusion detection systems,Peer-to-Peer Networking and Applications,,,,10.1007/s12083-025-01933-w,Rima AlshayaSalim E. L. khediri,2025,https://link.springer.com/article/10.1007/s12083-025-01933-w,Article
A systematic review of metaheuristic based feature selection strategies for cyber-attack detection in the IIoT,Artificial Intelligence Review,,,,10.1007/s10462-025-11473-7,Georg Thamer FrancisAlireza SouriNihat Inanç,2026,https://link.springer.com/article/10.1007/s10462-025-11473-7,Article
A harris hawks optimized SVM framework for securing IoT networks through attack detection and feature analysis,Discover Internet of Things,,,,10.1007/s43926-025-00237-y,Dana A. Al-QudahAla’ M. Al-ZoubiBashar Al-ShboulBilal Abu-SalihRaneem QaddouraMohammad Hijjawi,2025,https://link.springer.com/article/10.1007/s43926-025-00237-y,Article
Machine Learning in Intrusion Detection: A Ten-Year Retrospective Analysis,Information Systems,,,,10.1007/978-3-032-18484-9_6,Konstantinos Vavousis,2026,https://link.springer.com/chapter/10.1007/978-3-032-18484-9_6,Conference paper
Enhancing Attack Detection in Internet of Medical Things Using CTGAN for Data Augmentation and Attention-Enhanced Bidirectional GRU Networks,"Proceedings of the International Conference on Artificial Intelligence, Security, and Networking (CAISN 2024)",,,,10.1007/978-3-032-03695-7_37,Zhor IsmailiOmar HabibiMohammed ChemmakhaMohamed Lazaar,2026,https://link.springer.com/chapter/10.1007/978-3-032-03695-7_37,Conference paper
An ensemble of deep representation learning with metaheuristic optimisation algorithm for critical health monitoring using internet of medical things,Scientific Reports,,,,10.1038/s41598-025-15005-9,Mai Alduailij,2025,https://link.springer.com/article/10.1038/s41598-025-15005-9,Article
Intrusion Detection System Using Deep Learning Techniques for&#xa0;Internet of&#xa0;Medical Things (IoMT),The Future of Artificial Intelligence and Robotics,,,,10.1007/978-3-031-60935-0_65,Naveen SaranNishtha KesswaniRavi Saharan,2024,https://link.springer.com/chapter/10.1007/978-3-031-60935-0_65,Conference paper
An integrated framework of blockchain and federated learning with explainable AI for enhanced security of IoT healthcare systems,International Journal of Information Technology,,,,10.1007/s41870-025-02873-7,Kedar Nath SinghAnuj Kumar Singh,2025,https://link.springer.com/article/10.1007/s41870-025-02873-7,Article
Machine Learning Techniques for&#xa0;Intrusion Detection System in&#xa0;IOT Devices: A Review,Data Science and Applications,,,,10.1007/978-3-032-15404-0_15,Navodita SinghAkhtar RasoolPragati AgrawalSaima Hasib,2026,https://link.springer.com/chapter/10.1007/978-3-032-15404-0_15,Conference paper
Deep learning for intrusion detection in emerging technologies: a comprehensive survey and new perspectives,Artificial Intelligence Review,,,,10.1007/s10462-025-11346-z,Euclides Carlos Pinto NetoShahrear IqbalScott BuffettMadeena SultanaAdrian Taylor,2025,https://link.springer.com/article/10.1007/s10462-025-11346-z,Article
Enhancing network intrusion detection: a dual-ensemble approach with CTGAN-balanced data and weak classifiers,The Journal of Supercomputing,,,,10.1007/s11227-024-06108-7,Mohammad Reza Abbaszadeh Bavil SoflaeiArash SalehpourKarim Samadzamini,2024,https://link.springer.com/article/10.1007/s11227-024-06108-7,Article
Modelling of hybrid deep learning framework with recursive feature elimination for distributed denial of service attack detection systems,Scientific Reports,,,,10.1038/s41598-025-22936-w,Sultan Alkhliwi,2025,https://link.springer.com/article/10.1038/s41598-025-22936-w,Article
XAI-driven Data Mining for Self-defending IoT Systems: Enhancing Cybersecurity Transparency in the Age of Smart Cities,Cognitive Computation,,,,10.1007/s12559-026-10559-w,Fida Muhammad KhanAsim ZebTaj RahmanMahmoud Ahmad Al-KhasawnehYousef Ibrahim DaradkehIsma Farah SiddiquiAli Kashif BashirInam Ullah,2026,https://link.springer.com/article/10.1007/s12559-026-10559-w,Article
A novel intrusion detection framework using ensemble learning in MQTT IoT applications,Annals of Mathematics and Artificial Intelligence,,,,10.1007/s10472-025-09993-7,Mitesh SolankiShilpi Gupta,2025,https://link.springer.com/article/10.1007/s10472-025-09993-7,Article
